petrol_tax,fax,paved,population,comsumption
﻿1,0.525,1976,3571,9
1,0.572,1250,4092,9
1,0.58,1586,3865,9
1,0.529,2351,4870,7.5
1,0.544,431,4399,8
1,0.571,1333,5342,10
1,0.451,11868,5319,8
1,0.553,2138,5126,8
1,0.529,8577,4447,8
7,498,0.552,8507,4512
8,580,0.53,5939,4391
7.5,471,0.525,14186,5126
7,525,0.574,6930,4817
7,508,0.545,6580,4207
7,566,0.608,8159,4332
7,635,0.586,10340,4318
7,603,0.572,8508,4206
7,714,0.54,4725,3718
7,865,0.724,5915,4716
8.5,640,0.677,6010,4341
7,649,0.663,7834,4593
8,540,0.602,602,4983
9,464,0.511,2449,4897
9,547,0.517,4686,4258
8.5,460,0.551,2619,4574
9,566,0.544,4746,3721
8,577,0.548,5399,3448
7.5,631,0.579,9061,3846
8,574,0.563,5975,4188
9,534,0.493,4650,3601
7,571,0.518,6905,3640
7,554,0.513,6594,3333
8,577,0.578,6524,3063
7.5,628,0.547,4121,3357
8,487,0.487,3495,3528
6.58,644,0.629,7834,3802
5,640,0.566,17782,4045
7,704,0.586,6385,3897
8.5,648,0.663,3274,3635
7,968,0.672,3905,4345
7,587,0.626,4639,4449
7,699,0.563,3985,3656
7,632,0.603,3635,4300
7,591,0.508,2611,3745
6,782,0.672,2302,5215
9,510,0.571,3942,4476
7,610,0.623,4083,4296
7,524,0.593,9794,5002
